,user,user_id,location,is_reply_to,reply_id,is_quoted,is_rt,time
0,wardmarkey,1032894392,Staden,sharon_broeders,1236747053356720129,False,False,2020-12-30 17:03:41
1,welnabis,1196768157798674433,Elsene,CaaacheLaBeuuh,175451553,False,False,2020-12-30 17:03:17
2,IndirhaVa,1288501230,Wommelgem,,,True,False,2020-12-30 17:03:15
3,DanielMilokwa,1344323532285759490,Chateau D'oupeye,,,False,False,2020-12-30 17:03:02
4,fisherice_,3317011955,Antwerp,,,False,False,2020-12-30 17:02:57
5,wardmarkey,1032894392,Staden,daviniacoppens,126676094,False,False,2020-12-30 17:02:55
6,brigitte_lany,1319936668493844482,Sint-Katelijne-Waver,,,False,False,2020-12-30 17:02:16
7,ooklmm,1161568308623290368,Brussels,,,False,False,2020-12-30 17:02:11
8,neuroliege,973478716474093569,Esneux,PascaStanford,818951367037329408,False,False,2020-12-30 17:02:06
9,JackyVandecast1,1324290998432878593,Tielt,chris10vdb,1306010965,False,False,2020-12-30 17:01:59
10,FransVerstrepe2,797418720729645060,Bruges,JohanVerstreken,3315458825,False,False,2020-12-30 17:01:42
11,JackyVandecast1,1324290998432878593,Tielt,jenny68119220,1131876829076381696,False,False,2020-12-30 17:01:40
12,ByKimysmile,245306498,Gesves,Submarinehellow,4194365955,False,False,2020-12-30 17:00:49
13,Ceo_Talking,1253694324555964417,Soumagne,TomFelton,22548403,False,False,2020-12-30 17:00:45
14,Yohanobody,121204677,Neufchâteau,Yohanobody,121204677,False,False,2020-12-30 17:00:34
15,BiancaCvozC1,928260889031200773,Overpelt,BiancaCvozC1,928260889031200773,False,False,2020-12-30 17:00:08
16,Yohanobody,121204677,Neufchâteau,Yohanobody,121204677,False,False,2020-12-30 17:00:00
17,Loicpsy,1136360933037694978,Fosses-la-Ville,StrangePredar,1211768808114806784,False,False,2020-12-30 16:59:52
18,MaereFrank,842753972607897601,Waasmunster,Manon_pelle,1658117766,False,False,2020-12-30 16:59:49
19,roannefigueroa,63226155,Schaarbeek,,,False,False,2020-12-30 16:59:38
20,GOENRI,113915864,Ukkel,Peters_Glen,917421961,False,False,2020-12-30 16:59:28
21,Elrico_S,3304703469,Mons,JackosDrawn,3304706499,False,False,2020-12-30 16:59:19
22,Yvonneivyy,1091453788727271424,Antwerp,,,False,False,2020-12-30 16:58:47
23,DekremJarno,1033130984,Uitkijktoren Vloethemveld,,,False,False,2020-12-30 16:58:41
24,JackyVandecast1,1324290998432878593,Tielt,Lovely_Ava77,1326324580533854210,False,False,2020-12-30 16:58:34
