Nodes : 23434  Edges : 22911
Highest degree : 113  Highest weight : 103
Id : YasmineLLLI  Deg : 7  Max weight : [('jevxdupoulett', 12)]
Id : tombogman  Deg : 42  Max weight : [('Karl_Drabbe', 15)]
Id : ds_patsy  Deg : 43  Max weight : [('fff007', 12)]
Id : tjrhappy  Deg : 6  Max weight : [('franchementyes', 37)]
Id : lbnaa__  Deg : 16  Max weight : [('kasul92I', 23), ('ins_qlf', 27), ('cestousmane', 29)]
Id : kasul92I  Deg : 1  Max weight : [('lbnaa__', 23)]
Id : Nazim_mkt  Deg : 33  Max weight : [('akeloush', 20), ('borrielloforeal', 11)]
Id : bouyahyi62  Deg : 31  Max weight : [('bouyahyi62', 44)]
Id : Sajr1904  Deg : 4  Max weight : [('MirelaNkta', 11)]
Id : MirelaNkta  Deg : 10  Max weight : [('Sajr1904', 11)]
Id : TWenseleers  Deg : 22  Max weight : [('FFeys', 18)]
Id : senayksl_  Deg : 8  Max weight : [('Orko95410095', 12), ('bilgesuerciyas', 19), ('ceydacbnn', 11)]
Id : sara_sarria  Deg : 21  Max weight : [('sara_sarria', 46), ('YzzYamaha', 12), ('BlacknowanSng', 24)]
Id : ArminCFC_  Deg : 42  Max weight : [('arindamlfc11', 11)]
Id : johanhofman  Deg : 8  Max weight : [('guyvansanden', 13), ('NuinZeeland', 19), ('CodyflyerNl', 18)]
Id : guyvansanden  Deg : 2  Max weight : [('johanhofman', 13)]
Id : Rda_zk  Deg : 17  Max weight : [('akhyrayan', 16)]
Id : akhyrayan  Deg : 2  Max weight : [('Rda_zk', 16)]
Id : n1iiss  Deg : 45  Max weight : [('iam_rifiaaa', 11), ('n1iiss', 44), ('ayaa_atg', 11), ('idekyas', 14)]
Id : Ackerhtd  Deg : 4  Max weight : [('JoackimOmnk', 11), ('thxjen_', 27)]
Id : locombiaaa22  Deg : 6  Max weight : [('_noorpv', 11)]
Id : Touriadebxl  Deg : 113  Max weight : [('Touriadebxl', 50)]
