Nodes : 20218  Edges : 20328
Highest degree : 157  Highest weight : 116
Id : ycb931080       	Deg : 19 	Best weight(s) : [('tsbcqui', 19)]
Id : ranialamenace   	Deg : 11 	Best weight(s) : [('HadesYoungg', 13)]
Id : Stuff2WaZz      	Deg : 81 	Best weight(s) : [('Stuff2WaZz', 12)]
Id : advm212         	Deg : 120 	Best weight(s) : [('advm212', 62)]
Id : TryingAdulthood 	Deg : 15 	Best weight(s) : [('Marm0te', 18)]
Id : Marm0te         	Deg : 8 	Best weight(s) : [('TryingAdulthood', 18), ('TheCixe', 11)]
Id : AtakeKindatake  	Deg : 26 	Best weight(s) : [('m1kepv', 11)]
Id : BlacknowanSng   	Deg : 46 	Best weight(s) : [('elinorkrf', 22)]
Id : RitaNobregaGom1 	Deg : 48 	Best weight(s) : [('RitaNobregaGom1', 12)]
Id : Mrs_Bentos      	Deg : 66 	Best weight(s) : [('lacatchat', 11)]
Id : Genivsqt        	Deg : 39 	Best weight(s) : [('LTnze', 14), ('Mathknight_', 15), ('Aahhboon', 14)]
Id : LTnze           	Deg : 1 	Best weight(s) : [('Genivsqt', 14)]
Id : reijerhendrikse 	Deg : 16 	Best weight(s) : [('reijerhendrikse', 32)]
Id : ChiragGaur7     	Deg : 2 	Best weight(s) : [('UTDAidann', 13)]
Id : UTDAidann       	Deg : 1 	Best weight(s) : [('ChiragGaur7', 13)]
Id : bnhltn          	Deg : 36 	Best weight(s) : [('soojll', 11), ('svmr_19', 11), ('loubnaa_zhr', 22)]
Id : ayaa_atg        	Deg : 35 	Best weight(s) : [('jtehouk_ldos', 11)]
Id : CDians12        	Deg : 56 	Best weight(s) : [('lyne_bt', 15)]
Id : Zak_Mmax        	Deg : 16 	Best weight(s) : [('RLaRage1', 14)]
Id : RLaRage1        	Deg : 1 	Best weight(s) : [('Zak_Mmax', 14)]
Id : Touriadebxl     	Deg : 111 	Best weight(s) : [('anonbotski', 12), ('Touriadebxl', 82), ('Francoi92197219', 12)]
Id : HugoPoliart     	Deg : 23 	Best weight(s) : [('Lanomadesed', 14)]
Id : tsbcqui         	Deg : 48 	Best weight(s) : [('mikasadl', 15), ('Mikeezer', 30), ('Stelladorangee', 17), ('mh_bna', 50), ('tckwahn', 28), ('chk_yaaas', 12), ('ycb931080', 19), ('tsbcqui', 14), ('YoussBkl', 14)]
Id : mikasadl        	Deg : 12 	Best weight(s) : [('tsbcqui', 15), ('Mikeezer', 16), ('bougressehihi', 16)]
Id : Aighhtt         	Deg : 16 	Best weight(s) : [('Aighhtt', 20)]
Id : DiabloMatador   	Deg : 29 	Best weight(s) : [('Walid0207', 12)]
Id : TomWlost        	Deg : 18 	Best weight(s) : [('TomWlost', 32)]
Id : Miss_FrancyM    	Deg : 53 	Best weight(s) : [('cosimomang', 13)]
Id : _hjrrrrr_       	Deg : 29 	Best weight(s) : [('HamzaMajjaoui', 14), ('Chat3al', 13)]
Id : chuideter       	Deg : 4 	Best weight(s) : [('franchementyes', 11)]
Id : franchementyes  	Deg : 56 	Best weight(s) : [('chuideter', 11), ('akm54_', 29), ('GpYass', 16), ('franchementyes', 12), ('Omzrely', 14), ('rpl_anass', 15), ('sadeaufinal', 13)]
Id : youusss80       	Deg : 2 	Best weight(s) : [('LaarissiM', 15)]
Id : LaarissiM       	Deg : 1 	Best weight(s) : [('youusss80', 15)]
Id : ElHajjHagop8    	Deg : 42 	Best weight(s) : [('leslie_wbr', 15), ('neufcent1', 116), ('Incertaiine', 61), ('La_PesteBrune', 12), ('ElHajjHagop8', 14)]
Id : leslie_wbr      	Deg : 2 	Best weight(s) : [('ElHajjHagop8', 15)]
Id : _AnnKa__        	Deg : 2 	Best weight(s) : [('AtlasBinks', 17)]
Id : AtlasBinks      	Deg : 1 	Best weight(s) : [('_AnnKa__', 17)]
Id : shtyts17        	Deg : 14 	Best weight(s) : [('OthmanLine', 26)]
Id : jgp999c         	Deg : 19 	Best weight(s) : [('jgp999c', 14)]
Id : ilnasila        	Deg : 25 	Best weight(s) : [('ilnasila', 36)]
Id : bougressehihi   	Deg : 36 	Best weight(s) : [('bougressehihi', 108), ('wixxm24', 42), ('CaaacheLaBeuuh', 20), ('_hnd19', 48), ('emr1k80', 20), ('fffbns', 13), ('mikasadl', 16)]
Id : anonbotski      	Deg : 1 	Best weight(s) : [('Touriadebxl', 12)]
Id : lhoean_         	Deg : 10 	Best weight(s) : [('lhoean_', 16)]
Id : _szvs_          	Deg : 15 	Best weight(s) : [('Bonsoiiirr', 34)]
Id : babybelok       	Deg : 27 	Best weight(s) : [('babybelok', 52)]
Id : sykssfn         	Deg : 28 	Best weight(s) : [('VeyDrop', 19)]
Id : lmskkk          	Deg : 28 	Best weight(s) : [('lmskkk', 18)]
Id : Lanomadesed     	Deg : 26 	Best weight(s) : [('HugoPoliart', 14)]
Id : Ibraaaaabhjjjj  	Deg : 21 	Best weight(s) : [('MayssaThr', 28)]
Id : kaneda471       	Deg : 22 	Best weight(s) : [('kaneda471', 114)]
Id : jtehouk_ldos    	Deg : 25 	Best weight(s) : [('ayaa_atg', 11)]
Id : ZiyedDeeyiz     	Deg : 21 	Best weight(s) : [('CloakAIO', 13)]
Id : SAIKENNNN       	Deg : 10 	Best weight(s) : [('KiseGS', 14)]
Id : mkhatafi        	Deg : 23 	Best weight(s) : [('amchom_', 18)]
Id : SoufianeSRT     	Deg : 27 	Best weight(s) : [('anousslad', 50)]
Id : anousslad       	Deg : 1 	Best weight(s) : [('SoufianeSRT', 50)]
Id : 01ivi3r1u6      	Deg : 19 	Best weight(s) : [('johnnyboyclone', 13), ('VicWest18', 41)]
Id : johnnyboyclone  	Deg : 1 	Best weight(s) : [('01ivi3r1u6', 13)]
Id : ApplePip1       	Deg : 45 	Best weight(s) : [('ClarkeMicah', 11), ('cuckmasks', 18)]
Id : librarianbe     	Deg : 14 	Best weight(s) : [('librarianbe', 12)]
Id : wixxm24         	Deg : 4 	Best weight(s) : [('bougressehihi', 42)]
Id : a_pr1nces       	Deg : 157 	Best weight(s) : [('a_pr1nces', 20)]
Id : coucoulesang_   	Deg : 7 	Best weight(s) : [('ns_ox7', 16)]
Id : ns_ox7          	Deg : 1 	Best weight(s) : [('coucoulesang_', 16)]
Id : feefe21         	Deg : 86 	Best weight(s) : [('VolkmerClaire', 46)]
Id : VolkmerClaire   	Deg : 1 	Best weight(s) : [('feefe21', 46)]
Id : parkinxsss      	Deg : 18 	Best weight(s) : [('mochiiiarmy', 13), ('peach_baee', 23), ('nahaapnl', 14)]
Id : Mvqiikz         	Deg : 32 	Best weight(s) : [('baesssic', 12)]
Id : johnrallan      	Deg : 27 	Best weight(s) : [('SandyxB', 11)]
Id : 00siris         	Deg : 31 	Best weight(s) : [('00siris', 28), ('rayandouly', 14), ('daddyspv', 11), ('21tired', 12)]
Id : g__krs          	Deg : 19 	Best weight(s) : [('p_xhenii', 11)]
Id : chk_yaaas       	Deg : 15 	Best weight(s) : [('tsbcqui', 12)]
Id : RbjRayan        	Deg : 8 	Best weight(s) : [('MugiwaraPrb', 13)]
Id : MugiwaraPrb     	Deg : 8 	Best weight(s) : [('RbjRayan', 13)]
Id : iz_1030         	Deg : 5 	Best weight(s) : [('rif1083', 16), ('hxavxn954', 19)]
Id : rif1083         	Deg : 18 	Best weight(s) : [('iz_1030', 16), ('hxavxn954', 11)]
Id : minii_younees   	Deg : 7 	Best weight(s) : [('mb_hsm', 16)]
Id : akm54_          	Deg : 8 	Best weight(s) : [('franchementyes', 29)]
Id : mentaaality     	Deg : 15 	Best weight(s) : [('Zakariya_zkn', 11)]
Id : ArabiannWomen   	Deg : 23 	Best weight(s) : [('OthmanLine', 14), ('H_sakuraaaa', 12)]
Id : Imane_Inspirits 	Deg : 13 	Best weight(s) : [('vie_dwam', 16)]
Id : vie_dwam        	Deg : 8 	Best weight(s) : [('Imane_Inspirits', 16), ('sanosens', 13), ('vie_dwam', 16)]
Id : soojll          	Deg : 4 	Best weight(s) : [('bnhltn', 11)]
Id : babygirlxxxxx_  	Deg : 79 	Best weight(s) : [('tropicocox', 12), ('DisSlaughterBoi', 18)]
Id : bouyahyi62      	Deg : 29 	Best weight(s) : [('bouyahyi62', 30)]
Id : pevdmeer        	Deg : 12 	Best weight(s) : [('pevdmeer', 20), ('ThomasRotthier', 12)]
Id : Bonsoiiirr      	Deg : 10 	Best weight(s) : [('_szvs_', 34)]
Id : CaaacheLaBeuuh  	Deg : 19 	Best weight(s) : [('bougressehihi', 20), ('fynlazone', 15)]
Id : MarsSailor_     	Deg : 12 	Best weight(s) : [('MarsSailor_', 34)]
Id : selma1070       	Deg : 27 	Best weight(s) : [('tshadoking', 11)]
Id : tshadoking      	Deg : 1 	Best weight(s) : [('selma1070', 11)]
Id : sisi4248        	Deg : 52 	Best weight(s) : [('Zakariya_zkn', 12), ('MaadameBass', 13)]
Id : Yaa193          	Deg : 9 	Best weight(s) : [('mufassaaaaaaa', 11)]
Id : 01net           	Deg : 2 	Best weight(s) : [('santra_1', 13)]
Id : OthmanLine      	Deg : 35 	Best weight(s) : [('ArabiannWomen', 14), ('llmwy', 28), ('shtyts17', 26), ('cocobebekaki', 15), ('bichardinho', 16), ('bkl_imane', 23), ('al19TK', 15), ('OthmanLine', 34), ('lomencheko', 12), ('whynothn', 11)]
Id : neufcent1       	Deg : 1 	Best weight(s) : [('ElHajjHagop8', 116)]
Id : jevxdupoulett   	Deg : 22 	Best weight(s) : [('MocroSpow', 20), ('jsspastimidefrr', 14), ('YasmineLLLI', 16), ('isk774', 13)]
Id : MocroSpow       	Deg : 1 	Best weight(s) : [('jevxdupoulett', 20)]
Id : Shwpss          	Deg : 18 	Best weight(s) : [('Lave_Vitre', 13), ('RaqFernandezH', 17), ('MJakaMuzan', 15)]
Id : Lave_Vitre      	Deg : 1 	Best weight(s) : [('Shwpss', 13)]
Id : PasRyn17        	Deg : 29 	Best weight(s) : [('zz1o80', 14)]
