,user,user_id,location,is_reply_to,reply_id,is_quoted,is_rt,time
0,yesimtireddd,3304140819,Ghent,m_skoudi,1126773198,False,False,2020-12-30 11:25:25
1,thblomme,26269844,Ghent,,,True,False,2020-12-30 11:25:18
2,tinynews_be,29404934,Chièvres,MINETCHERI1,234466412,False,False,2020-12-30 11:25:14
3,GhitouT,126100193,Belgium,TeamCaptainJohn,190766916,False,False,2020-12-30 11:24:57
4,JackyVandecast1,1324290998432878593,Tielt,Janet_zebra,1293531273122779136,False,False,2020-12-30 11:24:29
5,Sedat_baki,797888040,Ghent,TFF_Org,2327218472,False,False,2020-12-30 11:24:29
6,PWullen,4871482462,Ghent,,,False,False,2020-12-30 11:24:26
7,jennantoniio,563831314,Zwijndrecht,,,False,False,2020-12-30 11:24:13
8,DarthSquig,19772495,Etterbeek,,,True,False,2020-12-30 11:23:56
9,inyaevens,703308938217988097,Opglabbeek,,,True,False,2020-12-30 11:23:55
10,nonkelpier,44210445,Brakel,drWouterArrazol,1662209748,False,False,2020-12-30 11:23:46
11,GlennP44447493,1161744824309092352,Knokke-Heist,,,False,False,2020-12-30 11:23:24
12,pa_Sanchez_1978,2733349157,Jette,dizdanae,2799952018,False,False,2020-12-30 11:23:23
13,JackyVandecast1,1324290998432878593,Tielt,An20_03,1109814283288887296,False,False,2020-12-30 11:23:20
14,CanibalSuicune,932144786,Mons,,,True,False,2020-12-30 11:23:10
15,CatherineMols2,1226120319670407169,Poperinge,TeamChaos22,4112443817,False,False,2020-12-30 11:23:07
16,DroverYvo,1285614436489854981,Ostend,,,False,False,2020-12-30 11:22:48
17,ByKimysmile,245306498,Gesves,,,False,False,2020-12-30 11:22:47
18,KevinDeruyck,468752924,Bruges,,,False,False,2020-12-30 11:22:29
19,thblomme,26269844,Ghent,dbervoet,230209323,False,False,2020-12-30 11:22:29
20,StarcasinoTeam,221819336,Bredene,,,False,False,2020-12-30 11:22:28
21,JackyVandecast1,1324290998432878593,Tielt,Jacqlin28,1204652975035179010,False,False,2020-12-30 11:22:25
22,ByKimysmile,245306498,Gesves,Elenaptitkinder,398543730,False,False,2020-12-30 11:22:22
23,DarthSquig,19772495,Etterbeek,DarthSquig,19772495,True,False,2020-12-30 11:22:20
24,JackyVandecast1,1324290998432878593,Tielt,johndevries312,4112122833,False,False,2020-12-30 11:22:07
25,FransVerstrepe2,797418720729645060,Bruges,JOLANDAGAAL,105920014,False,False,2020-12-30 11:21:53
26,DarthSquig,19772495,Etterbeek,,,True,False,2020-12-30 11:21:41
27,tinynews_be,29404934,Chièvres,,,True,False,2020-12-30 11:21:30
28,JackyVandecast1,1324290998432878593,Tielt,An20_03,1109814283288887296,False,False,2020-12-30 11:21:29
29,mizero144,2662314236,Namur,ApolloSmile,3176816299,False,False,2020-12-30 11:21:28
30,DroverYvo,1285614436489854981,Ostend,Otin_Marco,62352071,False,False,2020-12-30 11:21:27
31,DroverYvo,1285614436489854981,Ostend,Otin_Marco,62352071,False,False,2020-12-30 11:21:05
32,JackyVandecast1,1324290998432878593,Tielt,johndevries312,4112122833,False,False,2020-12-30 11:20:57
33,Afazar1,2613348452,Meix-Devant-Virton,DrMumbogoShyaka,986719212147273730,False,False,2020-12-30 11:20:42
34,zikaele,932594007489826816,Sint-Gillis,GreekAnalyst,2977900810,False,False,2020-12-30 11:20:26
35,joukesp,525285274,Zemst,RussellVine1981,50395799,False,False,2020-12-30 11:20:13
36,GOENRI,113915864,Ukkel,EVANVAERENBERGH,737148028478447620,False,False,2020-12-30 11:20:10
37,CatherineMols2,1226120319670407169,Poperinge,Siennaeva11,3403158389,False,False,2020-12-30 11:20:08
38,BelgeFrancois,871826057632022529,Jette,,,True,False,2020-12-30 11:19:56
39,ByKimysmile,245306498,Gesves,marweirdloud,1641204204,False,False,2020-12-30 11:19:47
40,tmj_bel_legal,39249187,Waterloo,,,False,False,2020-12-30 11:19:20
41,tanglive,121834957,Schaarbeek,xdamman,55993,False,False,2020-12-30 11:19:00
42,meinertttt,127246601,Wervik,amsterdamsblauw,332715929,False,False,2020-12-30 11:18:44
43,tinynews_be,29404934,Chièvres,ThalieYoung,2900523916,False,False,2020-12-30 11:18:39
44,Stefke_B,141741970,Liedekerke,,,True,False,2020-12-30 11:18:29
45,DroverYvo,1285614436489854981,Ostend,Otin_Marco,62352071,False,False,2020-12-30 11:18:28
46,JumpMaaan,3306136005,Brussels,,,False,False,2020-12-30 11:18:09
47,KivenMaurine,818414452429176833,Antwerp,bkclaud,2186823215,False,False,2020-12-30 11:17:59
48,Tom_VA_,785131152390688768,Ghent,harry_depaepe,4688337553,False,False,2020-12-30 11:17:57
49,robbekurt,848241157968736257,Jabbeke,DomiSGT,515781676,False,False,2020-12-30 11:17:56
50,LaurensVanBoven,59398850,Zottegem,,,True,False,2020-12-30 11:17:52
51,Verxe,59207323,Kortemark,LudwigBollaerts,14169849,False,False,2020-12-30 11:17:32
52,bmeerschaut,1979537352,Aarschot,goodtalls,479543019,False,False,2020-12-30 11:17:07
53,JackyVandecast1,1324290998432878593,Tielt,Brigittevdr,1284535970298290177,False,False,2020-12-30 11:16:53
54,macarreina,63222416,Louvain,missofonia,120824527,False,False,2020-12-30 11:16:52
55,SamuelRossi21,1530235044,Izegem,The_Jester_Fr,3378549633,False,False,2020-12-30 11:16:50
56,DroverYvo,1285614436489854981,Ostend,Otin_Marco,62352071,False,False,2020-12-30 11:16:48
57,DroverYvo,1285614436489854981,Ostend,Otin_Marco,62352071,False,False,2020-12-30 11:16:23
58,tinynews_be,29404934,Chièvres,ClausVincent_1,3378687622,False,False,2020-12-30 11:16:21
59,Verxe,59207323,Kortemark,IvanVandeCloot,217097410,False,False,2020-12-30 11:16:16
60,inspiran_be,260419723,Wachtebeke,,,True,False,2020-12-30 11:16:16
61,FredPaulussen,601836294,Brussels,,,True,False,2020-12-30 11:16:14
62,AndyWouters9,1165749218964856833,Beringen,,,False,False,2020-12-30 11:16:10
63,JackyVandecast1,1324290998432878593,Tielt,Brigittevdr,1284535970298290177,False,False,2020-12-30 11:15:43
64,CatherineMols2,1226120319670407169,Poperinge,TeamChaos22,4112443817,False,False,2020-12-30 11:15:05
65,Verxe,59207323,Kortemark,GeertNoels,26088207,False,False,2020-12-30 11:14:46
66,joukesp,525285274,Zemst,ElizabethAnthi,60183182,False,False,2020-12-30 11:14:45
67,DarthSquig,19772495,Etterbeek,aluhutt,91400607,False,False,2020-12-30 11:14:44
68,am_dvlle,2601642692,Mouscron,,,True,False,2020-12-30 11:14:40
69,JackyVandecast1,1324290998432878593,Tielt,johndevries312,4112122833,False,False,2020-12-30 11:14:37
70,DDucheyne,214792314,Ghent,,,True,False,2020-12-30 11:14:32
71,wardmarkey,1032894392,Staden,amsterdamsblauw,332715929,False,False,2020-12-30 11:14:25
72,AndyWouters9,1165749218964856833,Beringen,,,False,False,2020-12-30 11:14:23
73,RoomForStyle,320143778,Mechelen,,,False,False,2020-12-30 11:14:18
74,CanibalSuicune,932144786,Mons,,,False,False,2020-12-30 11:14:05
75,LuytenCarina,784113198077272064,Herentals,,,False,False,2020-12-30 11:14:01
76,JackyVandecast1,1324290998432878593,Tielt,An20_03,1109814283288887296,False,False,2020-12-30 11:13:50
77,AdriVargasSalda,336634732,Wemmel,,,True,False,2020-12-30 11:13:47
78,JackyVandecast1,1324290998432878593,Tielt,Brigittevdr,1284535970298290177,False,False,2020-12-30 11:13:33
79,CatherineMols2,1226120319670407169,Poperinge,AndiBell,16600619,False,False,2020-12-30 11:13:18
80,JackyVandecast1,1324290998432878593,Tielt,Britta_World,1267582159876915201,False,False,2020-12-30 11:13:16
81,DarthSquig,19772495,Etterbeek,,,True,False,2020-12-30 11:12:45
82,mrvyldz__,1244436885151285248,Asse,madaaaameS,1270116499353743362,False,False,2020-12-30 11:12:41
83,t_mobilis_nl,55241812,Antwerp,,,False,False,2020-12-30 11:12:38
84,nonkelpier,44210445,Brakel,nonkelpier,44210445,False,False,2020-12-30 11:12:23
85,cyberMyaa,1163929060138999808,Grâce-Hollogne,,,False,False,2020-12-30 11:12:20
86,JackyVandecast1,1324290998432878593,Tielt,johndevries312,4112122833,False,False,2020-12-30 11:12:19
87,JackyVandecast1,1324290998432878593,Tielt,An20_03,1109814283288887296,False,False,2020-12-30 11:12:03
88,CanibalSuicune,932144786,Mons,,,False,False,2020-12-30 11:11:48
89,DarthSquig,19772495,Etterbeek,horatiorama,18492985,False,False,2020-12-30 11:11:40
90,t_mobilis_nl,55241812,Heusden-Zolder,,,False,False,2020-12-30 11:11:38
91,thirsaVE,716293197853552640,Antwerp,Dorien_hi,1273622846619688965,False,False,2020-12-30 11:11:31
92,nidjebu4,135436861,Etterbeek,,,True,False,2020-12-30 11:11:00
93,AndrCrem,358800943,Enghien,maisondagoit,809279793128685572,False,False,2020-12-30 11:10:57
94,bmeerschaut,1979537352,Aarschot,PieterjanGoris,2512543416,False,False,2020-12-30 11:10:55
95,wardmarkey,1032894392,Staden,Steff_Peeters,761768937667330048,False,False,2020-12-30 11:10:46
96,JackyVandecast1,1324290998432878593,Tielt,DianaPoel,750677413768617989,False,False,2020-12-30 11:10:43
97,angeliquedupre,57991855,Ghent,Sven_Blansaer,216797337,False,False,2020-12-30 11:10:28
98,DarthSquig,19772495,Etterbeek,,,False,False,2020-12-30 11:10:18
99,242Kurt,448371081,Kontich,PhRoose,185192570,False,False,2020-12-30 11:09:59
100,Melvorgazh,2294983794,Vorst,vonderleyen,1146329871418843136,False,False,2020-12-30 11:09:57
101,juniperlamorte,1262642263110422529,Ghent,sunne,3043601,False,False,2020-12-30 11:09:47
102,LakhloufiY,538197519,Vorst,,,True,False,2020-12-30 11:09:38
103,nonkelpier,44210445,Brakel,drWouterArrazol,1662209748,False,False,2020-12-30 11:09:36
104,tanglive,121834957,Schaarbeek,xdamman,55993,False,False,2020-12-30 11:09:25
105,TheVecci,925825798875111426,Wommelgem,,,False,False,2020-12-30 11:09:16
106,meinertttt,127246601,Wervik,TheRealStokke,4251415547,False,False,2020-12-30 11:08:48
107,bmeerschaut,1979537352,Aarschot,ParisDaguerre,37659695,False,False,2020-12-30 11:08:33
108,baronjona,1300841490562908160,Mol,RealmZ_BTW,1214616712957566984,False,False,2020-12-30 11:08:33
109,Fricozoid,585564265,Ypres,camillemaerten,2327800002,False,False,2020-12-30 11:08:28
110,wardmarkey,1032894392,Staden,herboschjoris,718706266068160512,False,False,2020-12-30 11:08:00
111,Melvorgazh,2294983794,Vorst,silverf29093450,1234164876190388225,False,False,2020-12-30 11:07:53
112,nidjebu4,135436861,Etterbeek,,,True,False,2020-12-30 11:07:41
113,eurostarslogist,1146917384894238725,Antwerp,,,False,False,2020-12-30 11:07:23
114,JackyVandecast1,1324290998432878593,Tielt,beautysatheaven,191839269,False,False,2020-12-30 11:07:16
115,goudaphotograph,2419152120,Asse,KhaledDa24,945612632,False,False,2020-12-30 11:06:27
116,JackyVandecast1,1324290998432878593,Tielt,An20_03,1109814283288887296,False,False,2020-12-30 11:06:25
117,MrTweetBullshit,100396091,Brussels,velltrades,1105245745421185024,False,False,2020-12-30 11:06:25
118,LakhloufiY,538197519,Vorst,Hugues,11634432,False,False,2020-12-30 11:06:21
119,BurakCanKaymaz,1124510726,Diest,,,False,False,2020-12-30 11:06:14
120,JackyVandecast1,1324290998432878593,Tielt,An20_03,1109814283288887296,False,False,2020-12-30 11:06:13
121,u_mml,2870412497,Herstal,slmhktn,753940380,False,False,2020-12-30 11:05:34
122,242Kurt,448371081,Kontich,TRoggeman,1083406650,False,False,2020-12-30 11:05:32
123,joscarwilde,56056450,Boutersem,,,True,False,2020-12-30 11:05:30
124,JackyVandecast1,1324290998432878593,Tielt,An20_03,1109814283288887296,False,False,2020-12-30 11:05:23
